amfi_code,Tracking_Error
100016,0.20066050615498446
100025,0.1447710451184282
100033,0.2328207023813716
101206,0.2012775000855909
101207,0.29447197551968546
101208,0.13900846976155887
102885,0.18989434873361655
102886,0.23097347596342413
102887,0.20900627056254195
118632,0.19667615447778894
118633,0.19874905917003285
118634,0.2868329094087476
118635,0.18963535017262834
118636,0.14479588104666163
119092,0.19523752712075865
119093,0.19552525859141406
119094,0.2409298222404156
119095,0.2878606605954288
119120,0.14452928174226556
119551,0.19784752571459432
119552,0.19858868124830772
119598,0.28739472150072787
119599,0.284812497118253
120503,0.196204153441773
120504,0.20230699723097428
120505,0.2390872228735759
120506,0.203539338321492
120507,0.1390854875686308
120841,0.19426220475511474
120842,0.2276444300086096
120843,0.2114050349444892
120844,0.13908919850349447
125497,0.20119119691553317
125498,0.22860207158944376
148567,0.19755861522732093
148568,0.20791709537155778
148569,0.22323818394346337
149322,0.2007415026021156
149323,0.2252178576880048
149324,0.2820365133843193
